fraction	superkingdom	phylum	class	order	family	genus	species
0.010606614242595642	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Elizabethkingia	s__Elizabethkingia bruuniana
0.010471466255549827	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter freundii
0.009047406910567072	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leclercia	s__Leclercia adecarboxylata
0.005763811373453932	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__UBA7405	s__UBA7405 sp000755535
0.004137030047902454	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Thermaceae	g__Thermus_A	s__Thermus_A filiformis
0.0034913229986835584	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Micromonosporaceae	g__Micromonospora	s__Micromonospora sp019890675
0.002893168018980784	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter kobei
0.002282499336773767	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter hormaechei_A
0.0020222143246855307	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Aquaspirillaceae	g__Microvirgula	s__Microvirgula aerodenitrificans
0.0020197115841846824	d__Archaea	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__NBVN01	g__Zestosphaera	s__Zestosphaera tikiterensis
0.0017894594581066268	d__Archaea	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum calidifontis
0.0017419073885905066	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter soli
0.0016668251735650536	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Thermotogales	f__Fervidobacteriaceae	g__Fervidobacterium	s__Fervidobacterium pennivorans_A
0.0014741141549997248	d__Bacteria	p__Bacillota_A	c__Thermoanaerobacteria	o__Caldicellulosiruptorales	f__Caldicellulosiruptoraceae	g__Caldicellulosiruptor	s__Caldicellulosiruptor morganii
0.001323949724948819	d__Bacteria	p__Dictyoglomota	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	g__NZ13-RE01	s__NZ13-RE01 sp002878375
0.0012814031364343957	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Conexibacter	s__Conexibacter sp023405705
0.001266386693429305	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Thermotogales	f__Fervidobacteriaceae	g__Fervidobacterium	s__Fervidobacterium nodosum
