fraction	superkingdom	phylum	class	order	family	genus	species
0.0020436442663317083	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Parvibaculales	f__Parvibaculaceae	g__Parvibaculum	s__Parvibaculum sp019635965
0.00199479618386817	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__JAEUMG01	s__JAEUMG01 sp016793355
0.001858220932898685	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__Ga0077527	s__Ga0077527 sp019635015
0.0017445743736977997	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas nitrosa
0.0012221989612305729	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__JAEUIK01	g__JAEUIK01	s__JAEUIK01 sp016793185
0.0010746578141978447	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1845	f__UTPLA1	g__JADJRI01	s__JADJRI01 sp019636475
0.0010188314342395152	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Elioraea	s__Elioraea tepidiphila
0.0009480515596494902	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Tabrizicola	s__Tabrizicola sp004762095
0.0007995135129746488	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__CAMDGX01	s__CAMDGX01 sp945897825
0.0007765848212060492	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Tepidamorphaceae	g__Tepidamorphus	s__Tepidamorphus gemmatus
0.0006868638534158766	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Rehaibacterium	s__Rehaibacterium terrae
0.0005752110934992174	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Calidifontimicrobium	s__Calidifontimicrobium sediminis
0.0005642451974359741	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__CACIAM-22H2	f__CACIAM-22H2	g__Tagaea	s__Tagaea sp017308135
0.0004904746239196101	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Parvibaculales	f__Parvibaculaceae	g__Parvibaculum	s__Parvibaculum sp019635955
0.00046654903250889734	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp009772935
0.00046355833358255826	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas sp002483225
0.0004266730468243762	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__UBA1924	g__JAHBWV01	s__JAHBWV01 sp019636845
