Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A010ZKA9	unreviewed	Formyl transferase C-terminal domain-containing protein	927661	Cryptosporangium arvum DSM 44712	586	IPR009188	27..584
A0A011NVJ8	unreviewed	Methionyl-tRNA formyltransferase	522306	Accumulibacter regalis	581	IPR009188	1..579
A0A011PKF3	unreviewed	Methionyl-tRNA formyltransferase	1454003	Candidatus Accumulibacter appositus	591	IPR009188	1..589
A0A011PS85	unreviewed	Methionyl-tRNA formyltransferase	1454001	Candidatus Accumulibacter adjunctus	576	IPR009188	1..574
A0A024E484	unreviewed	Formyl transferase C-terminal domain-containing protein	1147786	Pseudomonas mandelii JR-1	574	IPR009188	4..574
A0A031G7A7	unreviewed	Enoyl-CoA hydratase/isomerase	1470589	Pseudomonas sp. RIT288	572	IPR009188	4..570
A0A061M6N7	unreviewed	Probable sensor protein hoxX	1126627	Bradyrhizobium sp. DOA9	566	IPR009188	1..566
A0A066UD64	unreviewed	Formyl transferase C-terminal domain-containing protein	287986	Amycolatopsis rifamycinica	575	IPR009188	1..570
A0A080MGH7	unreviewed	Methionyl-tRNA formyltransferase	2954383	Candidatus Accumulibacter cognatus	575	IPR009188	1..573
A0A090ADK3	unreviewed	Formyl transferase C-terminal domain-containing protein	40754	Thioploca ingrica	599	IPR009188	1..591
A0A0A6D761	unreviewed	Formyl transferase	587753	Pseudomonas chlororaphis	572	IPR009188	4..570
A0A0A8EVI6	unreviewed	Formyl transferase domain containing protein	1262452	Streptomyces sp. 769	578	IPR009188	1..576
A0A0B5EX42	unreviewed	Hydrogenase maturation	1081613	Streptomyces albus (strain ATCC 21838 / DSM 41398 / FERM P-419 / JCM 4703 / NBRC 107858)	584	IPR009188	1..577
A0A0B5I4S0	unreviewed	Hydrogenase maturation protein	362257	Streptomyces vietnamensis	566	IPR009188	1..555
A0A0C2BM28	unreviewed	Formyl transferase N-terminal domain-containing protein	709839	Noviherbaspirillum autotrophicum	575	IPR009188	1..575
A0A0C2ED82	unreviewed	Hydrogenase assembly protein HoxX	226910	Pseudomonas batumici	571	IPR009188	4..570
A0A0C2UFJ3	unreviewed	Methionyl-tRNA formyltransferase	272627	Paramagnetospirillum magnetotacticum MS-1	548	IPR009188	1..548
A0A0C5VF32	unreviewed	Formyl transferase C-terminal domain-containing protein	1445510	Gynuella sunshinyii YC6258	587	IPR009188	1..569
