,ICE_IME_id,ICE_IME_id_need_manual_curation,Segment_number,Comments_ICE_IME_structure,Is_hit_blast,Is_hit_HMM,CDS_num,Genome_accession,Genome_accession_rank,CDS_locus_tag,CDS_protein_id,CDS_strand,CDS_start,CDS_end,CDS_length,Is_pseudo,CDS_Protein_type,CDS_Protein_type_blast,Description_of_blast_most_similar_ref_SP,Id_of_blast_most_similar_ref_SP,Length_of_blast_most_similar_ref_SP,Blast_ali_length,Blast_ali_start_CDS,Blast_ali_end_CDS,Blast_ali_start_Query_blast,Blast_ali_end_Query_blast,Blast_ali_identity_perc,Blast_ali_E-value,Blast_ali_bitscore,CDS_coverage_blast,Blast_ali_coverage_most_similar_ref_SP,Protein_type_of_blast_most_similar_ref_SP,Associated_element_type_of_blast_most_similar_ref_SP,ICE_superfamily_of_most_similar_ref_SP,ICE_family_of_most_similar_ref_SP,IME_superfamily_of_most_similar_ref_SP,Relaxase_family_domain_of_most_similar_ref_SP,Relaxase_family_MOB_of_most_similar_ref_SP,Coupling_type_of_most_similar_ref_SP,False_positives,SP_blast_validation,Use_annotation,Protein_type_of_matching_HMM_profile,Description_of_matching_HMM_profile,Profile_name,Length_of_matching_HMM_profile,HMM_ali_i-Evalue,HMM_ali_E-value,HMM_ali_Score,HMM_ali_Bias,HMM_ali_Global_score,HMM_ali_Global_bias,HMM_coverage,CDS_coverage_hmm,Genome,Population
0,,,1,,1,1,1246,KRP146G01c3Blue,1,IIMFLFCP_01283,-,+,1187929,1188993,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO82259,379,265,70,301,82,346,25.66,8.29e-13,62.0,65.54,69.92,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,4.4e-25,4.6e-26,74.6,0.0,77.8,0.2,84.88,40.4,KRP1_SE046_G01_cluster3_Blue,Blue
1,,,1,,1,1,598,KRP146G02c3Blue,1,HHFJIHKA_00629,-,+,578481,579545,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,330.0,10.0,301.0,34.0,352.0,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G02_cluster3_Blue,Blue
2,ID_1,,2,,0,1,1579,KRP146G02c3Blue,1,HHFJIHKA_01625,-,+,1513652,1515052,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE046_G02_cluster3_Blue,Blue
3,ID_2,,2,,0,1,1584,KRP146G02c3Blue,1,HHFJIHKA_01630,-,+,1517881,1519212,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE046_G02_cluster3_Blue,Blue
4,,ID_1 ID_2,2,"Integrase HHFJIHKA_01635 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,1589,KRP146G02c3Blue,1,HHFJIHKA_01635,-,+,1521572,1522645,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.2e-19,82.8,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.8e-42,128.8,0.3,128.8,1.7,98.26,45.94,KRP1_SE046_G02_cluster3_Blue,Blue
5,ID_1,,1,Upstream integrase EKBEOCMI_00778 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,1,1,766,KRP146G04c2Blue,1,EKBEOCMI_00778,-,-,717273,718355,360,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CBJ22584,397.0,337.0,28.0,333.0,32.0,350.0,25.52,1.8e-19,82.4,85.0,80.35,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.8e-46,3.4e-46,142.3,0.5,143.3,0.5,98.84,45.83,KRP1_SE046_G04_cluster2_Blue,Blue
6,ID_1,,1,,0,1,778,KRP146G04c2Blue,1,EKBEOCMI_00790,-,+,726767,729283,838,-,VirB4,,,,,,,,,,,,,,,,,,,,,,,,,,VirB4,VirB4,T4SS_virb4,943,1e-115,8.3e-116,374.0,1.0,374.3,1.0,79.53,96.9,KRP1_SE046_G04_cluster2_Blue,Blue
7,ID_1,,1,,0,1,805,KRP146G04c2Blue,1,EKBEOCMI_00817,-,-,750483,752753,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.9e-17,1.9e-17,48.3,0.0,49.4,0.0,93.69,26.98,KRP1_SE046_G04_cluster2_Blue,Blue
8,,,2,,1,1,1007,KRP146G04c2Blue,1,EKBEOCMI_01024,-,+,950101,951165,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,330.0,10.0,301.0,34.0,352.0,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G04_cluster2_Blue,Blue
9,ID_1,,1,,0,1,310,KRP146G05c2Blue,1,BAOJCEGP_00322,-,+,273098,274498,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE046_G05_cluster2_Blue,Blue
10,ID_2,,1,,0,1,315,KRP146G05c2Blue,1,BAOJCEGP_00327,-,+,277327,278658,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp1,110,3.3e-12,1.6e-12,33.4,0.0,34.5,0.0,98.18,22.12,KRP1_SE046_G05_cluster2_Blue,Blue
11,,ID_1 ID_2,1,"Integrase BAOJCEGP_00332 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,320,KRP146G05c2Blue,1,BAOJCEGP_00332,-,+,281018,282091,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.2e-19,82.8,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.8e-42,128.8,0.3,128.8,1.7,98.26,45.94,KRP1_SE046_G05_cluster2_Blue,Blue
12,,,2,,1,1,1163,KRP146G05c2Blue,1,BAOJCEGP_01193,-,+,1092071,1093135,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,330.0,10.0,301.0,34.0,352.0,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G05_cluster2_Blue,Blue
13,,,1,,1,1,508,KRP146G06c2Blue,1,JNEFKJLJ_00526,-,+,450109,451125,338,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,306.0,41.0,314.0,64.0,365.0,25.16,2.14e-18,79.0,81.07,79.06,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,8.6e-42,8.2e-42,129.0,0.3,129.1,1.7,98.26,48.52,KRP1_SE046_G06_cluster2_Blue,Blue
14,,ID_1 ID_2,2,"Integrase JNEFKJLJ_01105 could be attributed to multiple possibly nested ICE IME structures (ID_1, ID_2), please manually check. ",1,1,1076,KRP146G06c2Blue,1,JNEFKJLJ_01105,-,+,1002927,1003991,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,330.0,10.0,301.0,34.0,352.0,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G06_cluster2_Blue,Blue
15,ID_1,,2,,0,1,1146,KRP146G06c2Blue,1,JNEFKJLJ_01175,-,-,1073474,1074805,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE046_G06_cluster2_Blue,Blue
16,ID_2,,2,,0,1,1151,KRP146G06c2Blue,1,JNEFKJLJ_01180,-,-,1077634,1079034,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE046_G06_cluster2_Blue,Blue
17,,,1,,1,1,491,KRP146G07c2Blue,1,FHMBDBPN_00508,-,-,446006,447022,338,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,306.0,41.0,314.0,64.0,365.0,25.16,2.14e-18,79.0,81.07,79.06,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,8.6e-42,8.2e-42,129.0,0.3,129.1,1.7,98.26,48.52,KRP1_SE046_G07_cluster2_Blue,Blue
18,,__IMEICEID_BasicEMStructure__1__,2,The SP FHMBDBPN_01107 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,1078,KRP146G07c2Blue,1,FHMBDBPN_01107,-,+,1018373,1019773,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE046_G07_cluster2_Blue,Blue
19,,__IMEICEID_BasicEMStructure__2__,2,The SP FHMBDBPN_01112 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,1083,KRP146G07c2Blue,1,FHMBDBPN_01112,-,+,1022602,1023933,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE046_G07_cluster2_Blue,Blue
20,,,3,,1,1,1499,KRP146G07c2Blue,1,FHMBDBPN_01536,-,+,1393974,1395038,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,330.0,10.0,301.0,34.0,352.0,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G07_cluster2_Blue,Blue
21,,,1,,1,1,791,KRP146G08c1Blue,1,BEKDIOBA_00803,-,-,738362,739426,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,330.0,10.0,301.0,34.0,352.0,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G08_cluster1_Blue,Blue
22,ID_1,,2,Upstream integrase BEKDIOBA_01639 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,1,1,1594,KRP146G08c1Blue,1,BEKDIOBA_01639,-,-,1495597,1496679,360,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CBJ22584,397.0,337.0,28.0,333.0,32.0,350.0,25.52,1.8e-19,82.4,85.0,80.35,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.8e-46,3.4e-46,142.3,0.5,143.3,0.5,98.84,45.83,KRP1_SE046_G08_cluster1_Blue,Blue
23,ID_1,,2,,0,1,1606,KRP146G08c1Blue,1,BEKDIOBA_01651,-,+,1505091,1507607,838,-,VirB4,,,,,,,,,,,,,,,,,,,,,,,,,,VirB4,VirB4,T4SS_virb4,943,1e-115,8.3e-116,374.0,1.0,374.3,1.0,79.53,96.9,KRP1_SE046_G08_cluster1_Blue,Blue
24,ID_1,,2,,0,1,1633,KRP146G08c1Blue,1,BEKDIOBA_01678,-,-,1528807,1531077,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.9e-17,1.9e-17,48.3,0.0,49.4,0.0,93.69,26.98,KRP1_SE046_G08_cluster1_Blue,Blue
25,ID_2,,3,,0,1,1767,KRP146G08c1Blue,1,BEKDIOBA_01814,-,+,1664809,1666209,466,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,5.2e-30,3.3e-30,90.5,0.0,91.1,0.0,93.24,41.85,KRP1_SE046_G08_cluster1_Blue,Blue
26,ID_3,,3,,0,1,1772,KRP146G08c1Blue,1,BEKDIOBA_01819,-,+,1669038,1670369,443,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,1.4e-10,8.7e-11,26.9,0.0,27.6,0.0,83.78,42.66,KRP1_SE046_G08_cluster1_Blue,Blue
27,,ID_2 ID_3,3,"Integrase BEKDIOBA_01824 could be attributed to multiple possibly nested ICE IME structures (ID_2, ID_3), please manually check. ",1,1,1777,KRP146G08c1Blue,1,BEKDIOBA_01824,-,+,1672729,1673802,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,1.2e-19,82.8,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,9.8e-42,9.8e-42,128.8,0.3,128.8,1.7,98.26,45.94,KRP1_SE046_G08_cluster1_Blue,Blue
28,,,1,,1,1,1516,KRP146G10c1Blue,1,OEJCIHOK_01559,-,-,1424844,1425908,354,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382,330,10,301,34,352,25.76,3.24e-14,66.6,82.49,83.51,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.2e-28,9.2e-31,86.2,0.2,93.1,2.0,98.26,42.94,KRP1_SE046_G10_cluster1_Blue,Blue
