Strain,Population,Time_Point
KRP1_SE046_G27_cluster_2_Blue,Blue,SE046
KRP1_SE046_G26_cluster_1_Blue,Blue,SE046
KRP1_SE046_G10_cluster_1_Blue,Blue,SE046
KRP1_SE046_G11_cluster_3_Blue,Blue,SE046
KRP1_SE058_G67_cluster_2_Blue,Blue,SE058
KRP1_SE046_G06_cluster_2_Blue,Blue,SE046
KRP1_SE046_G05_cluster_2_Blue,Blue,SE046
KRP1_SE046_G07_cluster_2_Blue,Blue,SE046
KRP1_SE055_G09_cluster_3_sulfuri,sulfuri,SE055
KRP1_SE055_G02_cluster_2_sulfuri,sulfuri,SE055
KRP2_SE053_G39_cluster_2_sulfuri,sulfuri,SE053
KRP2B_SE057_G54_cluster_2_sulfuri,sulfuri,SE057
KRP1_SE057_G12_cluster_2_sulfuri,sulfuri,SE057
KRP2B_SE057_G56_cluster_3_sulfuri,sulfuri,SE057
KRP1_SE046_G04_cluster_2_Blue,Blue,SE046
KRP2B_SE057_G49_cluster_3_sulfuri,sulfuri,SE057
KRP2_SE053_G37_cluster_2_sulfuri,sulfuri,SE053
KRP1_SE046_G12_cluster_3_Blue,Blue,SE046
KRP2_SE053_G44_cluster_2_sulfuri,sulfuri,SE053
KRP1_SE046_G13_cluster_1_Blue,Blue,SE046
KRP2B_SE057_G50_cluster_3_sulfuri,sulfuri,SE057
KRP1_SE055_G12_cluster_2_cluster_3_sulfuri,sulfuri,SE055
KRP1_SE055_G05_cluster_3_sulfuri,sulfuri,SE055
KRP2B_SE057_G57_cluster_3_sulfuri,sulfuri,SE057
KRP2B_SE057_G51_cluster_3_sulfuri,sulfuri,SE057
KRP1_SE046_G02_cluster_3_Blue,Blue,SE046
KRP1_SE053_G27_cluster_3_sulfuri,sulfuri,SE053
KRP1_SE055_G06_cluster_2_sulfuri,sulfuri,SE055
KRP1_SE057_G07_cluster_2_sulfuri,sulfuri,SE057
KRP2B_SE055_G24_cluster_3_sulfuri,sulfuri,SE055
KRP2_SE053_G36_cluster_2_sulfuri,sulfuri,SE053
KRP2B_SE057_G52_cluster_2_sulfuri,sulfuri,SE057
KRP2B_SE057_G53_cluster_2_sulfuri,sulfuri,SE057
KRP1_SE057_G10_cluster_1_sulfuri,sulfuri,SE057
KRP1_SE046_G08_cluster_1_Blue,Blue,SE046
KRP1_SE046_G01_cluster_3_Blue,Blue,SE046
KRP1_SE046_G25_cluster_3_Blue,Blue,SE046
KRP1_SE046_G23_cluster_1_Blue,Blue,SE046
KRP1_SE046_G22_cluster_2_Blue,Blue,SE046
KRP2B_SE058_G156_cluster_3_Blue,Blue,SE058
KRP2B_SE058_G151_cluster_3_Blue,Blue,SE058
KRP2_SE046_G28_cluster_2_Blue,Blue,SE046
KRP1_SE058_G127_cluster_1_Orange,Orange,SE058
KRP1_SE058_G130_cluster_1_Orange,Orange,SE058
KRP1_SE058_G132_cluster_2_Orange,Orange,SE058
KRP1_SE058_G121_cluster_1_Orange,Orange,SE058
KRP1_SE058_G175_cluster_1_Orange,Orange,SE058
KRP1_SE058_G128_cluster_2_Orange,Orange,SE058
KRP1_SE058_G174_cluster_2_Orange,Orange,SE058
KRP1_SE058_G129_cluster_2_Orange,Orange,SE058
KRP1_SE058_G125_cluster_2_Orange,Orange,SE058
KRP1_SE058_G122_cluster_2_Orange,Orange,SE058
KRP1_SE058_G131_cluster_1_Orange,Orange,SE058
KRP1_SE058_G173_cluster_1_Orange,Orange,SE058
KRP1_SE058_G176_cluster_4_Orange,Orange,SE058
KRP1_SE058_G54_cluster_3_Orange,Orange,SE058
KRP1_SE058_G50_cluster_3_Orange,Orange,SE058
KRP1_SE058_G59_cluster_3_Orange,Orange,SE058
KRP2_SE046_G29_cluster_1_Orange,Orange,SE046
KRP1_SE058_G49_cluster_3_Orange,Orange,SE058
KRP1_SE058_G52_cluster_3_Orange,Orange,SE058
KRP1_SE058_G55_cluster_3_Orange,Orange,SE058
KRP1_SE058_G51_cluster_1_Orange,Orange,SE058
KRP2_SE057_G42_cluster_2_Orange,Orange,SE057
KRP2_SE058_G137_cluster_1_Orange,Orange,SE058
KRP2_SE058_G136_cluster_2_Orange,Orange,SE058
KRP2_SE046_G18_cluster_2_Orange,Orange,SE046
KRP2_SE058_G142_cluster_2_Orange,Orange,SE058
